Provinsi/Kabupaten/Kota,Laki-laki,Perempuan
Sintang,12823,5938
KAPUAS HULU,10950,5287
Kapuas Hulu,10950,5287
SEKADAU,11688,4478
Sekadau,11688,4478
MELAWI,14547,4457
Melawi,14547,4457
KAYONG UTARA,11685,5752
Kayong Utara,11685,5752
KUBU RAYA,14315,5621
Kubu Raya,14315,5621
KOTA PONTIANAK,20650,14429
Kota Pontianak,20650,14429
KOTA SINGKAWANG,17085,10138
Kota Singkawang,17085,10138
KALIMANTAN TENGAH,16534,8205
KOTAWARINGIN BARAT,19443,11829
Kotawaringin Barat,19443,11829
KOTAWARINGIN TIMUR,18639,8598
Kotawaringin Timur,18639,8598
KAPUAS,13729,10741
Kapuas,13729,10741
BARITO SELATAN,16225,10449
Barito Selatan,16225,10449
BARITO UTARA,14754,7231
Barito Utara,14754,7231
SUKAMARA,12189,8171
Sukamara,12189,8171
LAMANDAU,16320,9596
Lamandau,16320,9596
SERUYAN,14738,7547
Seruyan,14738,7547
KATINGAN,16927,6515
Katingan,16927,6515
PULANG PISAU,14213,8289
Pulang Pisau,14213,8289
GUNUNG MAS,15568,8539
Gunung Mas,15568,8539
BARITO TIMUR,17262,8953
Barito Timur,17262,8953
MURUNG RAYA,16751,6167
Murung Raya,16751,6167
KOTA PALANGKA RAYA,19187,14060
Kota Palangka Raya,19187,14060
KALIMANTAN SELATAN,18623,9071
TANAH LAUT,17581,8146
Tanah Laut,17581,8146
KOTA BARU,18569,6722
Kotabaru,18569,6722
BANJAR,18960,11484
Banjar,18960,11484
BARITO KUALA,14772,8105
Barito Kuala,14772,8105
TAPIN,18465,6708
Tapin,18465,6708
HULU SUNGAI SELATAN,19215,8874
Hulu Sungai Selatan,19215,8874
HULU SUNGAI TENGAH,13757,12077
Hulu Sungai Tengah,13757,12077
HULU SUNGAI UTARA,14483,8843
Hulu Sungai Utara,14483,8843
TABALONG,18704,7063
Tabalong,18704,7063
TANAH BUMBU,19543,7440
Tanah Bumbu,19543,7440
BALANGAN,16359,11311
Balangan,16359,11311
KOTA BANJARMASIN,18657,13742
Kota Banjarmasin,18657,13742
KOTA BANJAR BARU,20163,13549
Kota Banjar Baru,20163,13549
KALIMANTAN TIMUR,19222,7459
PASIR,18324,3091
Paser,18324,3091
KUTAI BARAT,16240,6340
Kutai Barat,16240,6340
KUTAI KARTANEGARA,19097,4900
Kutai Kartanegara,19097,4900
KUTAI TIMUR,18319,4123
Kutai Timur,18319,4123
BERAU,20169,7913
Berau,20169,7913
MALINAU,-,-
BULUNGAN,-,-
NUNUKAN,-,-
PENAJAM PASER UTARA,17791,7354
Penajam Paser Utara,17791,7354
TANA TIDUNG,-,-
MAHAKAM ULU,13032,4693
Mahakam Ulu,13032,4693
KOTA BALIKPAPAN,23978,11375
Kota Balikpapan,23978,11375
KOTA SAMARINDA,22004,10455
Kota Samarinda,22004,10455
KOTA TARAKAN,-,-
KOTA BONTANG,26768,10020
Kota Bontang,26768,10020
KALIMANTAN UTARA,13239,6161
MALINAU,15283,5443
Malinau,15283,5443
BULONGAN,14802,6600
Bulungan,14802,6600
TANA TIDUNG,11912,4058
Tana Tidung,11912,4058
NUNUKAN,10797,4605
Nunukan,10797,4605
KOTA TARAKAN,16132,10170
Kota Tarakan,16132,10170
SULAWESI UTARA,15555,10296
BOLAANG MONGONDOW,15710,6483
Bolaang Mongondow,15710,6483
MINAHASA,15654,11875
Minahasa,15654,11875
KEPULAUAN SANGIHE,15132,9649
Kepulauan Sangihe,15132,9649
KEPULAUAN TALAUD,9499,8372
Kepulauan Talaud,9499,8372
MINAHASA SELATAN,17105,7337
Minahasa Selatan,17105,7337
MINAHASA UTARA,14565,10877
Minahasa Utara,14565,10877
BOLAANG MONGONDOW UTARA,15632,5826
Bolaang Mongondow Utara,15632,5826
SIAU TAGULANDANG BIARO,12898,5802
Siau Tagulandang Biaro,12898,5802
MINAHASA TENGGARA,15531,8471
Minahasa Tenggara,15531,8471
BOLAANG MONGONDOW SELATAN,15070,4269
Bolaang Mongondow Selatan,15070,4269
BOLAANG MONGONDOW TIMUR,13572,7231
Bolaang Mongondow Timur,13572,7231
KOTA MANADO,17028,13298
Kota Manado,17028,13298
KOTA BITUNG,17029,10767
Kota Bitung,17029,10767
KOTA TOMOHON,13367,11826
Kota Tomohon,13367,11826
KOTA KOTAMOBAGU,15022,10272
Kota Kotamobagu,15022,10272
SULAWESI TENGAH,13503,8008
BANGGAI KEPULAUAN,11206,7510
Banggai Kepulauan,11206,7510
BANGGAI,14652,8008
Banggai,14652,8008
MOROWALI,17384,6441
Morowali,17384,6441
POSO,10558,8554
Poso,10558,8554
DONGGALA,11678,5968
Donggala,11678,5968
TOLI-TOLI,11688,6312
Toli-Toli,11688,6312
BUOL,12014,5732
Buol,12014,5732
PARIGI MOUTONG,13191,7746
Parigi Moutong,13191,7746
TOJO UNA-UNA,12107,6810
Tojo Una-Una,12107,6810
SIGI,11435,7786
Sigi,11435,7786
BANGGAI LAUT,11079,7696
Banggai Laut,11079,7696
MOROWALI UTARA,10934,8934
Morowali Utara,10934,8934
KOTA PALU,15939,14918
Kota Palu,15939,14918
SULAWESI SELATAN,16645,10131
KEPULAUAN SELAYAR,15027,8274
Kepulauan Selayar,15027,8274
BULUKUMBA,14153,10690
Bulukumba,14153,10690
BANTAENG,12614,9683
Bantaeng,12614,9683
JENEPONTO,14425,8506
Jeneponto,14425,8506
TAKALAR,16752,6941
Takalar,16752,6941
GOWA,15167,6649
Gowa,15167,6649
SINJAI,10503,9284
Sinjai,10503,9284
MAROS,17411,8574
Maros,17411,8574
PANGKAJENE DAN KEPULAUAN,18646,9655
Pangkajene dan Kepulauan,18646,9655
BARRU,14613,10932
Barru,14613,10932
BONE,13299,8080
Bone,13299,8080
SOPPENG,11136,9312
Soppeng,11136,9312
WAJO,20784,9885
Wajo,20784,9885
SIDENRENG RAPPANG,18915,10304
Sidenreng Rappang,18915,10304
PINRANG,15787,10718
Pinrang,15787,10718
ENREKANG,11523,10534
Enrekang,11523,10534
LUWU,14665,8463
Luwu,14665,8463
TANA TORAJA,11155,5446
Tana Toraja,11155,5446
LUWU UTARA,16872,8618
Luwu Utara,16872,8618
LUWU TIMUR,20045,9458
Luwu Timur,20045,9458
TORAJA UTARA,12092,5467
Toraja Utara,12092,5467
KOTA MAKASSAR,20964,13862
Kota Makasar,20964,13862
KOTA PARE-PARE,16339,13729
Kota Parepare,16339,13729
KOTA PALOPO,16328,12392
Kota Palopo,16328,12392
SULAWESI TENGGARA,13891,7857
BUTON,12570,4697
Buton,12570,4697
MUNA,12421,6227
Muna,12421,6227
KONAWE,15028,9746
Konawe,15028,9746
KOLAKA,18231,8507
Kolaka,18231,8507
KONAWE SELATAN,13717,6435
Konawe Selatan,13717,6435
BOMBANA,13015,5156
Bombana,13015,5156
WAKATOBI,13990,7498
Wakatobi,13990,7498
KOLAKA UTARA,11409,10321
Kolaka Utara,11409,10321
BUTON UTARA,10421,7364
Buton Utara,10421,7364
KONAWE UTARA,14186,6163
Konawe Utara,14186,6163
KOLAKA TIMUR,8153,8772
Kolaka Timur,8153,8772
KONAWE KEPULAUAN,11232,4901
Konawe Kepulauan,11232,4901
MUNA BARAT,10569,6193
Muna Barat,10569,6193
BUTON TENGAH,12245,4720
Buton Tengah,12245,4720
BUTON SELATAN,13598,3026
Buton Selatan,13598,3026
KOTA KENDARI,17552,13091
Kota Kendari,17552,13091
KOTA BAU-BAU,15636,8435
Kota Baubau,15636,8435
GORONTALO,14822,5656
BOALEMO,14470,4022
Boalemo,14470,4022
GORONTALO,14836,4228
Gorontalo,14836,4228
POHUWATO,13871,7225
Pohuwato,13871,7225
BONE BOLANGO,14890,5652
Bone Bolango,14890,5652
GORONTALO UTARA,14506,4053
Gorontalo Utara,14506,4053
KOTA GORONTALO,18849,6828
Kota Gorontalo,18849,6828
SULAWESI BARAT,13459,7025
MAJENE,12451,9237
Majene,12451,9237
POLEWALI MANDAR,12074,7434
Polewali Mandar,12074,7434
MAMASA,8543,7604
Mamasa,8543,7604
MAMUJU,12622,6732
Mamuju,12622,6732
MAMUJU UTARA,17349,6286
